AgeGroup,Sex,2009,2010,2011,Cluster,PCA1
15-24,female,46,31,55,2,-50.2437446024751
15-24,male,25,53,29,2,-60.22971184290425
25-34,female,59,63,74,0,-11.925190452181301
25-34,male,36,47,57,2,-43.54793339504958
35-44,female,68,84,65,0,1.8920571443351593
35-44,male,43,64,48,2,-33.432132026770674
45-54,female,56,73,70,0,-8.910415084720336
45-54,male,62,81,63,0,-4.258661124025183
55-64,female,51,80,66,0,-8.92693788405325
55-64,male,69,74,78,0,2.7061324092949586
65+,female,119,149,119,1,100.58168538027829
65+,male,115,157,142,1,116.29485147827124
